Empresa;Família;Modelo;OPC;Chassi;Placa;Veículo;Estado Placa;Ano;Cor;NF Número;Valor Compra;Custo Operacional;Preço Público/Venda;Custo Valor Compra;NF Compra;Empresa Compra;Valor Agregado;KM;Opcionais;Data Chegada;Dias Estoque;Data Emissão;Situação;Valor Escrito;Valor Escrito2;Valor Escrito3;Combustível;Avaliação Usado;Em Trânsito;Pago;Data Pagamento;Estoque;Flag Proposta;Flag Pedido;Flag Bloqueio;Flag Reserva;NTI Valor;Tipo Faturamento;Valores Agregados;Pis/Fin;ICMS Valor Venda;Valor HoldBack;Nr. Renavam;Promoção;Custo Venda;Localização;Floor;Tipo Transmissão
PEDRAGON MANAUS;NV SILVERADO;NX SILVERADO HC PEC;PEC;3GCUK9ED4SG291354;        ;43124;;2025/2025;*PRETO GLOBAL (GBA) MET;153284;345297,32;0;389990;345297,32;785;PEDRAGON MANAUS;10358,92;1;(693) UE1, (736) PEC;30/01/2026;301;15/10/2025 00:00;Bloqueado;FECHADO;"CHASSI NAO CONTEMPLA BONUS, CANCELAMENTO POSTERIOR AO DIA 15 DO MES SUBSEQUENTE""  - JURÍDICO   ";201585;GASOLINA;0;;Sim;24/02/2026;VN - VEICULOS  NOVOS;Não;Não;Sim;Não;0;CAPLAN GM;HOLD BACK (GM), (CUSTO) TOP NA VENDA (NOVOS);0;0;0;201585;0;355656,24;PEDRAGON MANAUS FLORES;0;AUTOMÁTICO
PEDRAGON MANAUS;NW TRAILBLAZER;NW TRAILBLAZER HC R6A;R6A;9BG156PK0VC412054;;111651;;2026/2027;PRETO OURO NEGRO;1489978;339291,61;0;424640;335144,71;172909;PEDRAGON MANAUS;10178,75;1;(690) PDB, (693) UE1, (707) R6A;  /  /     ;47;26/06/2026 00:00;;;PEDRAGON MANAUS;201783;DIESEL;0;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0;CAPLAN GM;HOLD BACK (GM), (CUSTO) TOP NA VENDA (NOVOS);0;0;0;201783;0;345323,46;PEDRAGON MANAUS;0;AUTOMÁTICO
PEDRAGON MANAUS;NW TRACKER;NW TRACKER 1.2 PREM R8I;R8I;9BGEY76T0VB135473;;115297;;2026/2027;PRATA SHARK;3063554;143085,6;0;181840;143085,6;208762;PEDRAGON MANAUS;4240,1;1;(690) PDB, (693) UE1, (712) R8I;  /  /     ;1;11/08/2026 00:00;;ALEXANDRE;PEDRAGON MANAUS;149037;ALCO/GASOL;0;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0;CAPLAN GM;HOLD BACK (GM), (CUSTO) TOP NA VENDA (NOVOS);0;0;0;149037;0;147325,7;PEDRAGON MANAUS;0;AUTOMÁTICO
PEDRAGON MANAUS;NW TRACKER;NW TRACKER 1.2 PREM R8I;R8I;9BGEY76T0VB135118;;115230;;2026/2027;CINZA AMBAR;3063083;143085,6;0;181840;143085,6;207808;PEDRAGON MANAUS;4240,1;1;(690) PDB, (693) UE1, (712) R8I;  /  /     ;2;10/08/2026 00:00;;;PEDRAGON MANAUS;149037;ALCO/GASOL;0;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0;CAPLAN GM;HOLD BACK (GM), (CUSTO) TOP NA VENDA (NOVOS);0;0;0;149037;0;147325,7;PEDRAGON MANAUS;0;AUTOMÁTICO
PEDRAGON MANAUS;NW TRACKER;NW TRACKER 1.2 PREM R8I;R8I;8AGEY76T0VR103905;;115231;;2026/2027;CINZA AMBAR;4826556;143085,6;0;181640;141336,78;207815;PEDRAGON MANAUS;4240,1;1;(690) PDB, (693) UE1, (698) R9S, (712) R8I;  /  /     ;2;10/08/2026 00:00;;RAFAEL;PEDRAGON MANAUS;100194;ALCO/GASOL;0;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0;CAPLAN GM;HOLD BACK (GM), (CUSTO) TOP NA VENDA (NOVOS);0;0;0;100194;0;145576,88;PEDRAGON MANAUS;0;AUTOMÁTICO
PEDRAGON MANAUS;NW TRACKER;NW TRACKER 1.0 LT R8D;R8D;8AGEB76D0VR101457;;111521;;2026/2027;AZUL BOREAL;4797738;115553,69;0;146690;114141,37;171525;PEDRAGON MANAUS;3466,61;1;(693) UE1, (697) R8D, (698) R9S;  /  /     ;48;25/06/2026 00:00;;IZADORA ;PEDRAGON MANAUS;100197;ALCO/GASOL;0;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0;FLOOR PLAN - GM;HOLD BACK (GM), (CUSTO) TOP NA VENDA (NOVOS);0;0;0;100197;0;117607,98;PEDRAGON MANAUS;0;AUTOMÁTICO
PEDRAGON MANAUS;NW TRACKER;NW TRACKER 1.0 LT R8D;R8D;8AGEB76D0VR100626;;111520;;2026/2027;PRETO OURO NEGRO;4797739;117010,79;0;148540;115580,66;171526;PEDRAGON MANAUS;3510,32;1;(690) PDB, (693) UE1, (697) R8D, (698) R9S;  /  /     ;48;25/06/2026 00:00;;;PEDRAGON MANAUS;100197;ALCO/GASOL;0;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0;FLOOR PLAN - GM;HOLD BACK (GM), (CUSTO) TOP NA VENDA (NOVOS);0;0;0;100197;0;119090,98;PEDRAGON MANAUS;0;AUTOMÁTICO
PEDRAGON MANAUS;NW TRACKER;NW TRACKER 1.0 LT R8D;R8D;8AGEB76D0VR102767;;111526;;2026/2027;CINZA AMBAR;4797740;117010,79;0;148540;115580,66;171527;PEDRAGON MANAUS;3510,32;1;(690) PDB, (693) UE1, (697) R8D, (698) R9S;  /  /     ;48;25/06/2026 00:00;;;PEDRAGON MANAUS;100197;ALCO/GASOL;0;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0;FLOOR PLAN - GM;HOLD BACK (GM), (CUSTO) TOP NA VENDA (NOVOS);0;0;0;100197;0;119090,98;PEDRAGON MANAUS;0;AUTOMÁTICO
PEDRAGON MANAUS;NW TRACKER;NW TRACKER 1.0 LT R8D;R8D;8AGEB76D0VR102650;;111525;;2026/2027;BRANCO SUMMIT;4797741;116302,5;0;147640;114881,02;171528;PEDRAGON MANAUS;3489,08;1;(691) PDJ, (693) UE1, (697) R8D, (698) R9S;  /  /     ;48;25/06/2026 00:00;;;PEDRAGON MANAUS;100197;ALCO/GASOL;0;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0;FLOOR PLAN - GM;HOLD BACK (GM), (CUSTO) TOP NA VENDA (NOVOS);0;0;0;100197;0;118370,1;PEDRAGON MANAUS;0;AUTOMÁTICO
PEDRAGON MANAUS;NW TRACKER;NW TRACKER 1.0 LT R8D;R8D;8AGEB76D0VR101725;;111522;;2026/2027;PRATA SHARK;4797742;117010,79;0;148540;115580,66;171529;PEDRAGON MANAUS;3510,32;1;(690) PDB, (693) UE1, (697) R8D, (698) R9S;  /  /     ;48;25/06/2026 00:00;;;PEDRAGON MANAUS;100197;ALCO/GASOL;0;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0;FLOOR PLAN - GM;HOLD BACK (GM), (CUSTO) TOP NA VENDA (NOVOS);0;0;0;100197;0;119090,98;PEDRAGON MANAUS;0;AUTOMÁTICO
